route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
"2-ALM-vpt-1","T2_2","1.T2.2-ALM-vpt-1.1.R","2-ALM-vpt-1.1.R","Camberwell","1",""
"2-ALM-vpt-1","T2_2","10.T2.2-ALM-vpt-1.3.R","2-ALM-vpt-1.3.R","Camberwell","1",""
"2-ALM-vpt-1","T2_2","100.T2.2-ALM-vpt-1.1.R","2-ALM-vpt-1.1.R","Camberwell","1",""
"2-ALM-vpt-1","T2_2","101.T2.2-ALM-vpt-1.2.H","2-ALM-vpt-1.2.H","Alamein","0",""
"2-ALM-vpt-1","T2_2","102.T2.2-ALM-vpt-1.1.R","2-ALM-vpt-1.1.R","Camberwell","1",""
"2-ALM-vpt-1","T2_2","103.T2.2-ALM-vpt-1.2.H","2-ALM-vpt-1.2.H","Alamein","0",""
"2-ALM-vpt-1","T2_2","104.T2.2-ALM-vpt-1.1.R","2-ALM-vpt-1.1.R","Camberwell","1",""
"2-ALM-vpt-1","T2_2","105.T2.2-ALM-vpt-1.2.H","2-ALM-vpt-1.2.H","Alamein","0",""
"2-ALM-vpt-1","T2_2","106.T2.2-ALM-vpt-1.2.H","2-ALM-vpt-1.2.H","Alamein","0",""
"2-ALM-vpt-1","T2_2","107.T2.2-ALM-vpt-1.1.R","2-ALM-vpt-1.1.R","Camberwell","1",""
"2-ALM-vpt-1","T2_2","108.T2.2-ALM-vpt-1.2.H","2-ALM-vpt-1.2.H","Alamein","0",""
"2-ALM-vpt-1","T2_2","109.T2.2-ALM-vpt-1.2.H","2-ALM-vpt-1.2.H","Alamein","0",""
"2-ALM-vpt-1","T2_2","11.T2.2-ALM-vpt-1.4.H","2-ALM-vpt-1.4.H","Alamein","0",""
"2-ALM-vpt-1","T2_2","110.T2.2-ALM-vpt-1.1.R","2-ALM-vpt-1.1.R","Camberwell","1",""
"2-ALM-vpt-1","T2_2","111.T2.2-ALM-vpt-1.2.H","2-ALM-vpt-1.2.H","Alamein","0",""
"2-ALM-vpt-1","T2_2","112.T2.2-ALM-vpt-1.1.R","2-ALM-vpt-1.1.R","Camberwell","1",""
"2-ALM-vpt-1","T2_2","113.T2.2-ALM-vpt-1.2.H","2-ALM-vpt-1.2.H","Alamein","0",""
"2-ALM-vpt-1","T2_2","114.T2.2-ALM-vpt-1.1.R","2-ALM-vpt-1.1.R","Camberwell","1",""
"2-ALM-vpt-1","T2_2","115.T2.2-ALM-vpt-1.2.H","2-ALM-vpt-1.2.H","Alamein","0",""
"2-ALM-vpt-1","T3_2","116.T3.2-ALM-vpt-1.1.R","2-ALM-vpt-1.1.R","Camberwell","1",""
"2-ALM-vpt-1","T3_2","117.T3.2-ALM-vpt-1.2.H","2-ALM-vpt-1.2.H","Alamein","0",""
"2-ALM-vpt-1","T3_2","118.T3.2-ALM-vpt-1.1.R","2-ALM-vpt-1.1.R","Camberwell","1",""
"2-ALM-vpt-1","T3_2","119.T3.2-ALM-vpt-1.2.H","2-ALM-vpt-1.2.H","Alamein","0",""
